Method: GET, URL: /, Status: 404, Response Time: 18ms
Method: GET, URL: /, Status: 200, Response Time: 14ms
Method: GET, URL: /favicon.ico, Status: 200, Response Time: 2ms
Method: GET, URL: /api1/endpoint, Status: 200, Response Time: 3ms
Method: GET, URL: /api1/endpoint, Status: 200, Response Time: 2ms
Method: GET, URL: /api2/endpoint, Status: 200, Response Time: 2ms
Method: GET, URL: /api3/endpoint, Status: 200, Response Time: 3ms
Method: GET, URL: /loadbalanced-endpoint, Status: 200, Response Time: 2ms
Method: GET, URL: /loadbalanced-endpoint, Status: 200, Response Time: 2ms
Method: GET, URL: /, Status: 404, Response Time: 15ms
Method: GET, URL: /api1/endpoint, Status: 200, Response Time: 118ms
Method: GET, URL: /favicon.ico, Status: 404, Response Time: 16ms
Method: GET, URL: /graphql, Status: 404, Response Time: 15ms
Method: GET, URL: /graphql, Status: 404, Response Time: 15ms
Method: GET, URL: /, Status: 404, Response Time: 4ms
Method: GET, URL: /, Status: 200, Response Time: 12ms
Method: GET, URL: /favicon.ico, Status: 200, Response Time: 3ms
Method: GET, URL: /graphql, Status: 200, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 6ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 1ms
Method: GET, URL: /graphql, Status: 304, Response Time: 15ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 3ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql/graphql, Status: 200, Response Time: 35ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql/graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 5ms
Method: GET, URL: /graphql/graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql/graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql/, Status: 200, Response Time: 3ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 1ms
Method: GET, URL: /graphql, Status: 304, Response Time: 15ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 1ms
Method: GET, URL: /graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 2ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 2ms
Method: GET, URL: /graphql, Status: 304, Response Time: 1ms
Method: GET, URL: /favicon.ico, Status: 304, Response Time: 1ms
Method: GET, URL: /graphql, Status: 400, Response Time: 17ms
Method: GET, URL: /favicon.ico, Status: 404, Response Time: 5ms
Method: GET, URL: /graphql, Status: 400, Response Time: 14ms
Method: GET, URL: /graphql, Status: 400, Response Time: 2ms
Method: GET, URL: /graphql, Status: 400, Response Time: 1ms
Method: GET, URL: /graphql?query={%20products%20{%20id%20name%20price%20description%20inStock%20}%20}, Status: 200, Response Time: 10041ms
Method: GET, URL: /graphql?query={%20products%20{%20id%20name%20price%20description%20inStock%20}%20users%20{%20id%20name%20email%20}%20orders%20{%20id%20productId%20userId%20quantity%20status%20orderedAt%20}%20}, Status: 200, Response Time: 10024ms
Method: GET, URL: /graphql, Status: 400, Response Time: 3ms
Method: POST, URL: /api/products, Status: 404, Response Time: 3ms
Method: POST, URL: /api/products, Status: 404, Response Time: 1ms
Method: POST, URL: /api/products, Status: 404, Response Time: 1ms
Method: POST, URL: /api/products, Status: 404, Response Time: 1ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10032ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10041ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10013ms
Method: POST, URL: /api/products/, Status: 400, Response Time: 10015ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10019ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10051ms
Method: POST, URL: /api/products, Status: 400, Response Time: 8ms
Method: POST, URL: /api/products, Status: 400, Response Time: 3ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10027ms
Method: GET, URL: /api/products, Status: 500, Response Time: 10009ms
Method: POST, URL: /api/products, Status: 400, Response Time: 10042ms
